SaleDetailID,SaleID,ProductID,Quantity,UnitPrice
1,1,1,1,849.99
2,1,1,1,849.99
3,2,2,1,979.99
4,2,2,1,979.99
5,3,3,1,649.99
6,3,3,1,649.99
7,4,4,1,1279
8,4,4,1,1279
9,5,5,1,849
10,5,5,1,849
11,6,6,1,1179.99
12,6,6,1,1179.99
13,7,7,1,699.99
14,7,7,1,699.99
15,8,8,1,219.99
16,8,8,1,219.99
17,9,9,1,329.99
18,9,9,1,329.99
19,10,10,1,84.99
20,10,10,1,84.99
21,11,11,1,44.99
22,11,11,1,44.99
23,12,12,1,26.99
24,12,12,1,26.99
25,13,13,1,54.99
26,13,13,1,54.99
27,14,14,1,149.99
28,14,14,1,149.99
29,15,15,1,44.99
30,15,15,1,44.99
31,16,16,1,54.99
32,16,16,1,54.99
33,17,17,1,94.99
34,17,17,1,94.99
35,18,18,1,89.99
36,18,18,1,89.99
37,19,19,1,69.99
38,19,19,1,69.99
39,20,20,1,129.99
40,20,20,1,129.99
41,21,21,1,22.99
42,21,21,1,22.99
43,22,22,1,19.99
44,22,22,1,19.99
45,23,23,1,34.99
46,23,23,1,34.99
47,24,24,1,10.99
48,24,24,1,10.99
49,25,25,1,19.99
50,25,25,1,19.99
51,26,26,1,84.99
52,26,26,1,84.99
53,27,27,1,54.99
54,27,27,1,54.99
55,28,28,1,99.99
56,28,28,1,99.99
57,29,29,1,34.99
58,29,29,1,34.99
59,30,30,1,59.99
60,30,30,1,59.99
61,31,31,1,119.99
62,31,31,1,119.99
63,32,32,1,69.99
64,32,32,1,69.99
65,33,33,1,44.99
66,33,33,1,44.99
67,34,34,1,119
68,34,34,1,119
69,35,35,1,79.99
70,35,35,1,79.99
71,36,36,1,74.99
72,36,36,1,74.99
73,37,37,1,54.99
74,37,37,1,54.99
75,38,38,1,29.99
76,38,38,1,29.99
77,39,39,1,34.99
78,39,39,1,34.99
79,40,40,1,14.99
80,40,40,1,14.99
81,41,41,1,19.99
82,41,41,1,19.99
83,42,42,1,69.99
84,42,42,1,69.99
85,43,43,1,29.99
86,43,43,1,29.99
87,44,44,1,49.99
88,44,44,1,49.99
89,45,45,1,39.99
90,45,45,1,39.99
91,46,46,1,54.99
92,46,46,1,54.99
93,47,47,1,44.99
94,47,47,1,44.99
95,48,48,1,39.99
96,48,48,1,39.99
97,49,49,1,84.99
98,49,49,1,84.99
99,50,50,1,14.99
100,50,50,1,14.99
101,51,51,1,21.99
102,51,51,1,21.99
103,52,52,1,39.99
104,52,52,1,39.99
105,53,53,1,84.99
106,53,53,1,84.99
107,54,54,1,109.99
108,54,54,1,109.99
109,55,55,1,94.99
110,55,55,1,94.99
111,56,56,1,149.99
112,56,56,1,149.99
113,57,57,1,239.99
114,57,57,1,239.99
115,58,1,1,849.99
116,58,1,1,849.99
117,59,2,1,979.99
118,59,2,1,979.99
119,60,3,1,649.99
120,60,3,1,649.99
121,61,4,1,1279
122,61,4,1,1279
123,62,5,1,849
124,62,5,1,849
125,63,6,1,1179.99
126,63,6,1,1179.99
127,64,7,1,699.99
128,64,7,1,699.99
129,65,8,1,219.99
130,65,8,1,219.99
131,66,9,1,329.99
132,66,9,1,329.99
133,67,10,1,84.99
134,67,10,1,84.99
135,68,11,1,44.99
136,68,11,1,44.99
137,69,12,1,26.99
138,69,12,1,26.99
139,70,13,1,54.99
140,70,13,1,54.99
141,71,14,1,149.99
142,71,14,1,149.99
143,72,15,1,44.99
144,72,15,1,44.99
145,73,16,1,54.99
146,73,16,1,54.99
147,74,17,1,94.99
148,74,17,1,94.99
149,75,18,1,89.99
150,75,18,1,89.99
151,76,19,1,69.99
152,76,19,1,69.99
153,77,20,1,129.99
154,77,20,1,129.99
155,78,21,1,22.99
156,78,21,1,22.99
157,79,22,1,19.99
158,79,22,1,19.99
159,80,23,1,34.99
160,80,23,1,34.99
161,81,24,1,10.99
162,81,24,1,10.99
163,82,25,1,19.99
164,82,25,1,19.99
165,83,26,1,84.99
166,83,26,1,84.99
167,84,27,1,54.99
168,84,27,1,54.99
169,85,28,1,99.99
